,Design Option,Category,Family,Type,Family and Type,Type Id,Type Name,Family Name,Base Level,Area,Excluded,Height,Length,Shape is modified,Thickness,Volume,Construction,Material,Material By Original,Original Category,Original Family,Original Type,Show Shape Handles,Phase Created,Phase Created By Original,Phase Demolished,Phase Demolished By Original,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Elevation,Story Above,Computation Height,Is ground plane,Scope Box,Building Story,Name,Structural,Elevation Base,Color,Line Pattern,Line Weight,Symbol,Symbol at End 1 Default,Symbol at End 2 Default,Level,1,2,3,4,5,6,7,8,Host Id,D of Top,H,base,top,Elevation from Level,Offset from Host,Schedule Level,H of Blinds (max H),W,Count,Base,Cable,Top,Top Vis,Default Elevation,Data1,H of Top,H of board,Radius of Cable,Rotation,W of board,Count of Cables,Work Plane,D,H1,L of L,Thickness of L,space,Hole,Moves With Nearby Elements,Host,Edge,h2,r,r2,r3,ver,d2,w3,glass,h1,From Edge Downpipe Left,From Edge Downpipe Right,L,r1,r2-data,Dia,H Bottom,Offset hor,Offset ver,left,right,Height Offset From Level,Related to Mass,Room Bounding,Core Thickness,Elevation at Bottom,Elevation at Bottom Core,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Core,Elevation at Top Survey,Perimeter,Enable Analytical Model,Span Direction,Absorptance,Heat Transfer Coefficient (U),Roughness,Thermal Mass,Thermal Resistance (R),Default Thickness,Function,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Display in Hidden Views,Structural Material,Sill Height,Angle data,2D Swing Angle,3D Angle (0°=closed),Mark,Head Height,Analytic Construction,Wall Closure,Hdata,Wdata,data,w2,Door distance from edge,Width,OmniClass Number,OmniClass Title,Type Mark,Frame Projection,Frame Width 1,Frame Width 2,gap,Handle,wdata,Parapet Corner L,Width Right,frame,frame 90°,parapet,Parapet Corner,Parapet Straight,Exterior Offset,Parapet Height,Parapet Offset,Thickness of frame,Width of frame,Default Sill Height,1 Frame,1 Frame Corner Left,1 Frame Corner Left Double Glass,1 Frame Double Glass,1 Frame Glass,2 Frame,2 Frame Glass Left,2 Frame Glass Right,2 Frame Left,2 Frame Right,Base Constraint,Base Extension Distance,Base Offset,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top Offset,Top is Attached,Unconnected Height,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Structural Usage,Wrapping at Ends,Wrapping at Inserts
662765,None,OST_GenericModel,Straight gutter,Straight gutter,Straight gutter,Straight gutter,Straight gutter,Straight gutter,,1 m²,,,,,,0.05 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,None,,6573,340996,,4650,,Level 1,,,,,,,,2,,,,,,,,Level : Level 1,80,,,,,,,Basic Wall : 400,5423,,50,38,52,3,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664983,None,OST_GenericModel,Straight gutter,Straight gutter,Straight gutter,Straight gutter,Straight gutter,Straight gutter,,1 m²,,,,,,0.05 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,None,,6549,340996,,4650,,Level 1,,,,,,,,2,,,,,,,,Level : Level 1,80,,,,,,,Basic Wall : 400,5399,,50,38,52,3,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671513,None,OST_GenericModel,Glass Rail,Glass Rail,Glass Rail,Glass Rail,Glass Rail,Glass Rail,,1 m²,,,,,,0.02 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,None,,997,89581,,3918,,Level 1,,1013,,,,,,1219,,,,,,,,Level : Level 1,50,,,,,,,window : 2 Frame Right Door,,,,,,,,25,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671836,None,OST_GenericModel,Glass Rail,Glass Rail,Glass Rail,Glass Rail,Glass Rail,Glass Rail,,1 m²,,,,,,0.02 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,None,,997,89581,,3918,,Level 1,,1034,,,,,,1219,,,,,,,,Level : Level 1,50,,,,,,,<not associated>,,,,,,,,25,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672204,None,OST_GenericModel,Glass Rail,Glass Rail,Glass Rail,Glass Rail,Glass Rail,Glass Rail,,1 m²,,,,,,0.02 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,None,,997,89581,,3944,,Level 1,,1013,,,,,,1219,,,,,,,,Level : Level 1,50,,,,,,,window : 2 Frame Right Door,,,,,,,,25,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672403,None,OST_GenericModel,Glass Rail,Glass Rail,Glass Rail,Glass Rail,Glass Rail,Glass Rail,,1 m²,,,,,,0.02 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,None,,997,89581,,3952,,Level 1,,964,,,,,,1219,,,,,,,,Level : Level 1,50,,,,,,,window : 2 Frame Left Door,,,,,,,,25,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676416,None,OST_GenericModel,rain gutter,rain gutter,rain gutter,rain gutter,rain gutter,rain gutter,,7 m²,,,,,2,0.01 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,None,,3000,340996,,0,0,,,,,,,,,,,125,,,,,,,,,,,,,No,Level : Level 1,,,,,,,,,,2850,454,896,11973,100,40,200,2500,0,0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644607,None,OST_Floors,strecha 950,strecha 950,strecha 950,strecha 950,strecha 950,Floor,,81 m²,,,,,750,53.69 m³,,,,,,,,Phase 1,,None,,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,,,,,,,,Yes,,,,,,,,Level 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,No,Yes,0,6450,6450,6450,--9223372036854775808,--9223372036854775808,--9223372036854775808,37920,Yes,0.00°,0.7,0.0560 W/(m²·K),3,4.13 kJ/K,17.8571 (m²·K)/W,750,0,0,None,0,302611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644520,None,OST_Floors,250 -strop,250 -strop,250 -strop,250 -strop,250 -strop,Floor,,81 m²,,,,,250,20.15 m³,,,,,,,,Phase 1,,None,,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,,,,,,,,Yes,,,,,,,,Level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,Yes,250,3150,3150,3150,3400,3400,3400,37920,Yes,0.00°,0.7,0.1680 W/(m²·K),3,1.38 kJ/K,5.9524 (m²·K)/W,250,0,0,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667476,None,OST_Floors,300,300,300,300,300,Floor,,48 m²,,,,,300,14.52 m³,,,,,,,,Phase 1,,None,,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,,,,,,,,Yes,,,,,,,,Level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-400,No,Yes,300,2700,2700,2700,3000,3000,3000,38527,Yes,-90.00°,0.7,0.1400 W/(m²·K),3,1.65 kJ/K,7.1429 (m²·K)/W,300,0,0,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667805,None,OST_Floors,20,20,20,20,20,Floor,,48 m²,,,,,20,0.97 m³,,,,,,,,Phase 1,,None,,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,,,,,,,,Yes,,,,,,,,Level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-380,No,Yes,20,3000,3000,3000,3020,3020,3020,38527,Yes,-90.00°,0.7,,3,,,20,0,0,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643975,None,OST_Doors,700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),door-parametric with opening,,5 m²,,2190,,,,0.07 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,200,,,,,,,,,,,635358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,250,10.00°,90.00°,10.00°,7,2440,<None>,0,2180,1090,100,10,100,1100,23.30.10.00,Doors,27,20,30,65,5,311892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644072,None,OST_Doors,700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),door-parametric with opening,,5 m²,,2190,,,,0.07 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,200,,,,,,,,,,,635358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,250,10.00°,90.00°,10.00°,8,2440,<None>,0,2180,1090,100,10,100,1100,23.30.10.00,Doors,27,20,30,65,5,311892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644164,None,OST_Doors,700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),door-parametric with opening,,5 m²,,2190,,,,0.07 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,200,,,,,,,,,,,635358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,250,10.00°,90.00°,10.00°,9,2440,<None>,0,2180,1090,100,10,100,1100,23.30.10.00,Doors,27,20,30,65,5,311892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644234,None,OST_Doors,700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),door-parametric with opening,,5 m²,,2190,,,,0.07 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,200,,,,,,,,,,,635358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,250,10.00°,90.00°,10.00°,10,2440,<None>,0,2180,1090,100,10,100,1100,23.30.10.00,Doors,27,20,30,65,5,311892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685143,None,OST_Doors,700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),door-parametric with opening,,5 m²,,2190,,,,0.07 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,200,,,,,,,,,,,635358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,10.00°,90.00°,10.00°,11,2190,<None>,0,2180,1090,100,10,100,1100,23.30.10.00,Doors,27,20,30,65,5,311892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685209,None,OST_Doors,700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),700x1970(100zar),door-parametric with opening,,5 m²,,2190,,,,0.07 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,200,,,,,,,,,,,635358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,10.00°,90.00°,10.00°,12,2190,<None>,0,2180,1090,100,10,100,1100,23.30.10.00,Doors,27,20,30,65,5,311892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628572,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,24 m²,,700,,,,0.11 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,2250,,,,,,,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,81,950,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,957,800,1000,340996,340996,340996,No,No,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
630130,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,10 m²,,700,,,,0.04 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,700,,,,,,,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,83,2200,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,996,800,700,340996,340996,340996,No,Yes,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
630654,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,14 m²,,700,,,,0.06 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,700,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,84,2200,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,1500,800,700,340996,340996,340996,No,Yes,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
632170,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,16 m²,,700,,,,0.07 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,2250,,,,,,,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,89,950,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,588,800,700,340996,340996,340996,No,No,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
634083,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,16 m²,,700,,,,0.07 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,2250,,,,,,,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,91,950,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,588,800,700,340996,340996,340996,No,No,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
644977,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,24 m²,,700,,,,0.10 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,400,,2250,,,,,,,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,104,700,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,934,1115,0,340996,340996,340996,No,Yes,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
649630,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,42 m²,,700,,,,0.19 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,400,,2250,,,,,,,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,106,700,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,1837,1115,0,340996,340996,340996,No,Yes,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
649931,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,18 m²,,700,,,,0.08 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,400,,2250,,,,,,,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,107,700,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,675,1115,0,340996,340996,340996,No,Yes,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
651228,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,14 m²,,700,,,,0.06 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,400,,700,,,,,,,1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,110,2200,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,1468,1115,0,340996,340996,340996,No,Yes,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
651359,None,OST_Windows,1 Frame,1 Frame,1 Frame,1 Frame,1 Frame,window,,11 m²,,700,,,,0.04 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,400,,700,,,,,,,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,111,2200,<None>,0,,,,,,1000,23.30.20.00,Windows,19,,,,,,1047,1115,0,340996,340996,340996,No,Yes,100,20,50,50,50,800,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,
645585,None,OST_Windows,2 Frame Right Door,2 Frame Right Door,2 Frame Right Door,2 Frame Right Door,2 Frame Right Door,window,,70 m²,,1500,,,,0.32 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,400,,2250,,,,,,,3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,105,1500,<None>,0,,,,,,1000,23.30.20.00,Windows,22,,,,,,3133,1115,2150,340996,340996,340996,No,Yes,100,20,50,50,50,800,No,No,No,No,No,Yes,Yes,No,No,Yes,,,,,,,,,,,,,,,
