,Design Option,Category,Family,Type,Family and Type,Type Id,Type Name,Family Name,Base Level,Area,Excluded,Height,Length,Shape is modified,Thickness,Volume,Construction,Material,Material By Original,Original Category,Original Family,Original Type,Show Shape Handles,Phase Created,Phase Created By Original,Phase Demolished,Phase Demolished By Original,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Elevation,Story Above,Computation Height,Is ground plane,Scope Box,Building Story,Name,Structural,Elevation Base,Color,Line Pattern,Line Weight,Symbol,Symbol at End 1 Default,Symbol at End 2 Default,Level,1,2,3,4,5,6,7,8,Host Id,D of Top,H,base,top,Elevation from Level,Offset from Host,Schedule Level,H of Blinds (max H),W,Count,Base,Cable,Top,Top Vis,Default Elevation,Data1,H of Top,H of board,Radius of Cable,Rotation,W of board,Count of Cables,Work Plane,D,H1,L of L,Thickness of L,space,Hole,Moves With Nearby Elements,Host,Edge,h2,r,r2,r3,ver,d2,w3,glass,h1,From Edge Downpipe Left,From Edge Downpipe Right,L,r1,r2-data,Dia,H Bottom,Offset hor,Offset ver,left,right,Height Offset From Level,Related to Mass,Room Bounding,Core Thickness,Elevation at Bottom,Elevation at Bottom Core,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Core,Elevation at Top Survey,Perimeter,Enable Analytical Model,Span Direction,Absorptance,Heat Transfer Coefficient (U),Roughness,Thermal Mass,Thermal Resistance (R),Default Thickness,Function,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Display in Hidden Views,Structural Material,Sill Height,Angle data,2D Swing Angle,3D Angle (0°=closed),Mark,Head Height,Analytic Construction,Wall Closure,Hdata,Wdata,data,w2,Door distance from edge,Width,OmniClass Number,OmniClass Title,Type Mark,Frame Projection,Frame Width 1,Frame Width 2,gap,Handle,wdata,Parapet Corner L,Width Right,frame,frame 90°,parapet,Parapet Corner,Parapet Straight,Exterior Offset,Parapet Height,Parapet Offset,Thickness of frame,Width of frame,Default Sill Height,1 Frame,1 Frame Corner Left,1 Frame Corner Left Double Glass,1 Frame Double Glass,1 Frame Glass,2 Frame,2 Frame Glass Left,2 Frame Glass Right,2 Frame Left,2 Frame Right,Base Constraint,Base Extension Distance,Base Offset,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top Offset,Top is Attached,Unconnected Height,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Structural Usage,Wrapping at Ends,Wrapping at Inserts
650208,None,OST_Windows,2 Frame Right Door,2 Frame Right Door,2 Frame Right Door,2 Frame Right Door,2 Frame Right Door,window,,62 m²,,1500,,,,0.28 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,400,,2250,,,,,,,2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,108,1500,<None>,0,,,,,,1000,23.30.20.00,Windows,22,,,,,,2751,1115,1800,340996,340996,340996,No,Yes,100,20,50,50,50,800,No,No,No,No,No,Yes,Yes,No,No,Yes,,,,,,,,,,,,,,,
629165,None,OST_Windows,both glass,both glass,both glass,both glass,both glass,window,,68 m²,,1500,,,,0.32 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,2250,,,,,,,3196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,82,1750,<None>,0,,,,,,1000,23.30.20.00,Windows,32,,,,,,3096,800,750,340996,340996,340996,No,No,100,20,50,50,50,800,No,No,No,No,No,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,
630936,None,OST_Windows,both glass,both glass,both glass,both glass,both glass,window,,66 m²,,1500,,,,0.31 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,2250,,,,,,,3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,85,1750,<None>,0,,,,,,1000,23.30.20.00,Windows,32,,,,,,3003,800,1200,340996,340996,340996,No,No,100,20,50,50,50,800,No,No,No,No,No,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,
633117,None,OST_Windows,both glass,both glass,both glass,both glass,both glass,window,,70 m²,,1500,,,,0.33 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,2250,,,,,,,3292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,90,1750,<None>,0,,,,,,1000,23.30.20.00,Windows,32,,,,,,3192,800,1275,340996,340996,340996,No,No,100,20,50,50,50,800,No,No,No,No,No,Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,
632044,None,OST_Windows,Corner,Corner,Corner,Corner,Corner,window,,47 m²,,700,,,,0.20 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,2250,,,,,,,2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,88,950,<None>,0,,,,,,1000,23.30.20.00,Windows,33,,,,,,2060,800,700,340996,340996,340996,No,No,100,20,50,50,50,800,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
634666,None,OST_Windows,Corner,Corner,Corner,Corner,Corner,window,,29 m²,,700,,,,0.12 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,2250,,,,,,,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,93,950,<None>,0,,,,,,1000,23.30.20.00,Windows,33,,,,,,1197,800,700,340996,340996,340996,No,No,100,20,50,50,50,800,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
651129,None,OST_Windows,2 Frame Left Door,2 Frame Left Door,2 Frame Left Door,2 Frame Left Door,2 Frame Left Door,window,,62 m²,,2500,,,,0.28 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 2,,,,,,,,,400,,2250,,,,,,,2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,109,2500,<None>,0,,,,,,2200,23.30.20.00,Windows,35,,,,,,2801,1115,1000,340996,340996,340996,No,Yes,50,20,50,50,50,800,No,No,No,No,No,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,
665919,None,OST_Windows,1 Frame Double,1 Frame Double,1 Frame Double,1 Frame Double,1 Frame Double,window,,25 m²,,700,,,,0.09 m³,,,,,,,,Phase 1,,None,,,,,,,,,,,,,,,,,,,,Level 1,,,,,,,,,400,,2250,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,112,950,<None>,0,,,,,,1000,23.30.20.00,Windows,37,,,,,,1000,800,1000,340996,340996,340996,No,No,100,20,50,50,50,800,Yes,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,
626379,None,OST_Walls,200,200,200,200,200,Basic Wall,,18 m²,,,3435,,,3.70 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.2100 W/(m²·K),3,1.10 kJ/K,4.7619 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 2,0,0,Yes,3400,Rebar Cover 1,Rebar Cover 1,1,0,0
626611,None,OST_Walls,200,200,200,200,200,Basic Wall,,11 m²,,,2060,,,2.27 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.2100 W/(m²·K),3,1.10 kJ/K,4.7619 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 2,0,0,Yes,3400,Rebar Cover 1,Rebar Cover 1,1,0,0
626927,None,OST_Walls,200,200,200,200,200,Basic Wall,,23 m²,,,4445,,,4.51 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.2100 W/(m²·K),3,1.10 kJ/K,4.7619 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 2,0,0,Yes,3400,Rebar Cover 1,Rebar Cover 1,1,0,0
627097,None,OST_Walls,200,200,200,200,200,Basic Wall,,21 m²,,,3500,,,4.26 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.2100 W/(m²·K),3,1.10 kJ/K,4.7619 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 2,0,0,Yes,3400,Rebar Cover 1,Rebar Cover 1,1,0,0
627406,None,OST_Walls,200,200,200,200,200,Basic Wall,,13 m²,,,2139,,,2.50 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.2100 W/(m²·K),3,1.10 kJ/K,4.7619 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 2,0,0,Yes,3400,Rebar Cover 1,Rebar Cover 1,1,0,0
627727,None,OST_Walls,200,200,200,200,200,Basic Wall,,11 m²,,,2120,,,2.25 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.2100 W/(m²·K),3,1.10 kJ/K,4.7619 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 2,0,0,Yes,3400,Rebar Cover 1,Rebar Cover 1,1,0,0
627969,None,OST_Walls,200,200,200,200,200,Basic Wall,,20 m²,,,3400,,,4.00 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.2100 W/(m²·K),3,1.10 kJ/K,4.7619 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 2,0,0,Yes,3400,Rebar Cover 1,Rebar Cover 1,1,0,0
685063,None,OST_Walls,200,200,200,200,200,Basic Wall,,15 m²,,,6635,,,2.96 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.2100 W/(m²·K),3,1.10 kJ/K,4.7619 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 2,0,0,No,2,Level 7,0,0,Yes,4000,Rebar Cover 1,Rebar Cover 1,1,0,0
685695,None,OST_Walls,200,200,200,200,200,Basic Wall,,13 m²,,,4320,,,2.57 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.2100 W/(m²·K),3,1.10 kJ/K,4.7619 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 2,0,0,No,2,Level 7,0,0,Yes,4000,Rebar Cover 1,Rebar Cover 1,1,0,0
624002,None,OST_Walls,400,400,400,400,400,Basic Wall,,88 m²,,,12925,,,35.15 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.1050 W/(m²·K),3,2.21 kJ/K,9.5238 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 7,0,-200,No,7200,Rebar Cover 1,Rebar Cover 1,1,0,0
624374,None,OST_Walls,400,400,400,400,400,Basic Wall,,28 m²,,,6835,,,11.03 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.1050 W/(m²·K),3,2.21 kJ/K,9.5238 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 7,0,-200,No,7200,Rebar Cover 1,Rebar Cover 1,1,0,0
625039,None,OST_Walls,400,400,400,400,400,Basic Wall,,80 m²,,,12925,,,32.13 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.1050 W/(m²·K),3,2.21 kJ/K,9.5238 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 7,0,-200,No,7200,Rebar Cover 1,Rebar Cover 1,1,0,0
625587,None,OST_Walls,400,400,400,400,400,Basic Wall,,19 m²,,,6835,,,7.40 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.1050 W/(m²·K),3,2.21 kJ/K,9.5238 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,0,No,2,Level 7,0,-200,No,7200,Rebar Cover 1,Rebar Cover 1,1,0,0
644363,None,OST_Walls,400,400,400,400,400,Basic Wall,,3 m²,,,12925,,,1.07 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.1050 W/(m²·K),3,2.21 kJ/K,9.5238 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 7,0,-200,No,2,Level 7,0,0,No,200,Rebar Cover 1,Rebar Cover 1,1,0,0
644365,None,OST_Walls,400,400,400,400,400,Basic Wall,,1 m²,,,6835,,,0.55 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.1050 W/(m²·K),3,2.21 kJ/K,9.5238 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 7,0,-200,No,2,Level 7,0,0,No,200,Rebar Cover 1,Rebar Cover 1,1,0,0
644367,None,OST_Walls,400,400,400,400,400,Basic Wall,,3 m²,,,12925,,,1.03 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.1050 W/(m²·K),3,2.21 kJ/K,9.5238 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 7,0,-200,No,2,Level 7,0,0,No,200,Rebar Cover 1,Rebar Cover 1,1,0,0
644369,None,OST_Walls,400,400,400,400,400,Basic Wall,,1 m²,,,6835,,,0.51 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.1050 W/(m²·K),3,2.21 kJ/K,9.5238 (m²·K)/W,,0,0,None,,302611,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 7,0,-200,No,2,Level 7,0,0,No,200,Rebar Cover 1,Rebar Cover 1,1,0,0
626062,None,OST_Walls,300 beton,300 beton,300 beton,300 beton,300 beton,Basic Wall,,3 m²,,,1490,,,0.95 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.0833 W/(m²·K),3,0.03 kJ/K,12.0000 (m²·K)/W,,0,0,None,,672746,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,250,No,2,Level 2,0,0,Yes,3150,Rebar Cover 1,Rebar Cover 1,1,0,0
665334,None,OST_Walls,300 beton,300 beton,300 beton,300 beton,300 beton,Basic Wall,,5 m²,,,2060,,,1.51 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.0833 W/(m²·K),3,0.03 kJ/K,12.0000 (m²·K)/W,,0,0,None,,672746,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,250,No,2,Level 2,0,0,Yes,3150,Rebar Cover 1,Rebar Cover 1,1,0,0
665447,None,OST_Walls,300 beton,300 beton,300 beton,300 beton,300 beton,Basic Wall,,5 m²,,,2120,,,1.56 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.0833 W/(m²·K),3,0.03 kJ/K,12.0000 (m²·K)/W,,0,0,None,,672746,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,250,No,2,Level 2,0,0,Yes,3150,Rebar Cover 1,Rebar Cover 1,1,0,0
665565,None,OST_Walls,300 beton,300 beton,300 beton,300 beton,300 beton,Basic Wall,,5 m²,,,2400,,,1.62 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.0833 W/(m²·K),3,0.03 kJ/K,12.0000 (m²·K)/W,,0,0,None,,672746,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,250,No,2,Level 2,0,0,Yes,3150,Rebar Cover 1,Rebar Cover 1,1,0,0
667402,None,OST_Walls,300 beton,300 beton,300 beton,300 beton,300 beton,Basic Wall,,2 m²,,,775,,,0.57 m³,,,,,,,,Phase 1,,None,,,Rebar Cover 1,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,Yes,,0.7,0.0833 W/(m²·K),3,0.03 kJ/K,12.0000 (m²·K)/W,,0,0,None,,672746,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 1,0,250,No,2,Level 2,0,0,Yes,3150,Rebar Cover 1,Rebar Cover 1,1,0,0
